n,sortusingbst.ticks
100,2824
200,6624
300,11040
400,16048
500,23136
600,25828
700,30040
800,36232
900,43384
1000,53112
1100,52204
1200,60032
1300,66256
1400,79280
1500,78840
1600,87616
1700,89416
1800,95288
1900,97876
2000,103932
2100,112620
2200,121584
2300,126196
2400,138952
2500,134856
2600,152452
2700,158588
2800,162652
2900,158964
3000,174248
3100,167024
3200,172716
3300,184208
3400,195344
3500,194508
3600,203712
3700,206672
3800,216408
3900,238036
4000,235852
4100,244716
4200,258404
4300,262548
4400,276568
4500,265876
4600,277268
4700,272316
4800,320256
4900,305600
5000,299828
5100,306500
5200,315268
5300,361140
5400,331536
5500,313992
5600,330424
5700,358800
5800,345740
5900,346972
6000,375696
6100,391844
6200,381676
6300,427332
6400,370404
6500,424528
6600,417532
6700,406664
6800,421356
6900,422788
7000,423432
7100,463184
7200,449576
7300,478488
7400,471604
7500,531244
7600,482116
7700,495316
7800,502872
7900,511348
8000,532344
8100,516416
8200,543252
8300,543400
8400,517660
8500,529836
8600,559032
8700,563872
8800,582464
8900,557788
9000,607036
9100,614216
9200,602364
9300,625388
9400,593896
9500,660348
9600,636068
9700,645840
9800,615840
9900,628732
